codigo_ibge,lat,lon
2209302,-8.950200,-44.131500
2209351,-6.945900,-41.518700
2209377,-6.798700,-42.279700
2209401,-6.982600,-41.231400
2209450,-6.045700,-42.710500
2209500,-7.426600,-41.911300
2209559,-9.064400,-42.998500
2209609,-5.932500,-42.113700
2209658,-8.237800,-41.687600
2209708,-7.245700,-42.544500
2209757,-10.028900,-45.303000
2209807,-5.996600,-42.702600
2209856,-6.816100,-41.346500
2209872,-3.942200,-41.258800
2209906,-5.515300,-41.898500
2209955,-6.915800,-41.864300
2209971,-3.815700,-42.447100
2210003,-8.359300,-42.247100
2210052,-3.810800,-41.832900
2210102,-7.494100,-42.564300
2210201,-6.872300,-41.477300
2210300,-7.083300,-40.837800
2210359,-9.166700,-42.546600
2210375,-6.828800,-41.323300
2210383,-5.864600,-42.185500
2210391,-7.584100,-42.371700
2210409,-5.503000,-41.321100
2210508,-5.927300,-42.720300
